num_epochs;batch_size;hidden_size;learning_rate;lr_decay;reg;norm_layer;history_loss_train;history_loss_validation;best_model_valid_accuracy;early_stopped_valid_accuracy;is_early_stopped;train_valid_loss_hist_plot_path;valid_accuracy_plot_path;path_pre_train_filter_plots;path_post_train_filter_plots;best_model_test_accuracy;early_stopped_best_accuracy
5;200;[128, 512, 512, 512, 512];0.001;0.99;0.001;BN;[0.007317387554110313, 0.005488692297011006, 0.004909623270132103, 0.004503404763280129, 0.0041242342785913115];[0.005892492294311523, 0.005774666547775268, 0.0054797777533531185, 0.003909212172031403, 0.003817243814468384];74.8;nan;False;./train_valid_history_plots/train_val_loss_hist_5_200_0.001_0.99_0.001.png;./valid_accuracy_history_plots/valid_accuracy_hist_5_200_0.001_0.99_0.001.png;./pre_training_filters/pre_training_filters_5_200_0.001_0.99_0.001.png;./post_training_filters/post_training_filters_5_200_0.001_0.99_0.001.png;71.4;nan
5;200;[128, 512, 512, 512, 512];0.001;0.99;0.005;BN;[0.007744611178125654, 0.006332800025842628, 0.005851311153295089, 0.005573891400074472, 0.005311162007098295];[0.007573357820510864, 0.0062691552639007565, 0.0061768672466278075, 0.005267935335636139, 0.005293115198612213];65.4;nan;False;./train_valid_history_plots/train_val_loss_hist_5_200_0.001_0.99_0.005.png;./valid_accuracy_history_plots/valid_accuracy_hist_5_200_0.001_0.99_0.005.png;./pre_training_filters/pre_training_filters_5_200_0.001_0.99_0.005.png;./post_training_filters/post_training_filters_5_200_0.001_0.99_0.005.png;61.5;nan
5;200;[128, 512, 512, 512, 512];0.001;0.95;0.001;BN;[0.007281886300262139, 0.0054230589599025495, 0.004812656403804312, 0.004371931509095795, 0.004007620103505193];[0.0062059093713760375, 0.005219739377498627, 0.004786336481571197, 0.004321085274219513, 0.0044895133972167964];70.2;nan;False;./train_valid_history_plots/train_val_loss_hist_5_200_0.001_0.95_0.001.png;./valid_accuracy_history_plots/valid_accuracy_hist_5_200_0.001_0.95_0.001.png;./pre_training_filters/pre_training_filters_5_200_0.001_0.95_0.001.png;./post_training_filters/post_training_filters_5_200_0.001_0.95_0.001.png;69.8;nan
5;200;[128, 512, 512, 512, 512];0.001;0.95;0.005;BN;[0.0075684450791806595, 0.006249443260990844, 0.005773527786439779, 0.005493718695883848, 0.005167113111943615];[0.006689612865447998, 0.005400641083717346, 0.0062103462219238285, 0.005621701002120972, 0.004482089817523956];68.1;nan;False;./train_valid_history_plots/train_val_loss_hist_5_200_0.001_0.95_0.005.png;./valid_accuracy_history_plots/valid_accuracy_hist_5_200_0.001_0.95_0.005.png;./pre_training_filters/pre_training_filters_5_200_0.001_0.95_0.005.png;./post_training_filters/post_training_filters_5_200_0.001_0.95_0.005.png;68.9;nan
5;200;[128, 512, 512, 512, 512];0.001;0.9;0.001;BN;[0.007461748831126155, 0.0055135272826467244, 0.004815718305354216, 0.004293629078232512, 0.0038766532357858152];[0.005386924386024475, 0.005775095701217652, 0.00532850068807602, 0.0035522439479827883, 0.0042178030610084535];75.6;nan;False;./train_valid_history_plots/train_val_loss_hist_5_200_0.001_0.9_0.001.png;./valid_accuracy_history_plots/valid_accuracy_hist_5_200_0.001_0.9_0.001.png;./pre_training_filters/pre_training_filters_5_200_0.001_0.9_0.001.png;./post_training_filters/post_training_filters_5_200_0.001_0.9_0.001.png;70.5;nan
5;200;[128, 512, 512, 512, 512];0.001;0.9;0.005;BN;[0.007624814340046474, 0.00613046058100097, 0.005628550550159143, 0.005306339469491219, 0.004979266232373763];[0.006110062837600708, 0.005579164147377014, 0.005142738819122314, 0.0050951122641563415, 0.004507482647895813];69.7;nan;False;./train_valid_history_plots/train_val_loss_hist_5_200_0.001_0.9_0.005.png;./valid_accuracy_history_plots/valid_accuracy_hist_5_200_0.001_0.9_0.005.png;./pre_training_filters/pre_training_filters_5_200_0.001_0.9_0.005.png;./post_training_filters/post_training_filters_5_200_0.001_0.9_0.005.png;70.0;nan
5;200;[128, 512, 512, 512, 512];0.002;0.99;0.001;BN;[0.007970261140745514, 0.0060993833225600575, 0.005425327516331965, 0.004808583231604829, 0.004333153532475841];[0.007337316393852234, 0.00738023030757904, 0.006280856847763062, 0.006453367710113525, 0.003686451017856598];75.3;nan;False;./train_valid_history_plots/train_val_loss_hist_5_200_0.002_0.99_0.001.png;./valid_accuracy_history_plots/valid_accuracy_hist_5_200_0.002_0.99_0.001.png;./pre_training_filters/pre_training_filters_5_200_0.002_0.99_0.001.png;./post_training_filters/post_training_filters_5_200_0.002_0.99_0.001.png;74.0;nan
5;200;[128, 512, 512, 512, 512];0.002;0.99;0.005;BN;[0.008340932595486544, 0.007132418975538137, 0.006582442127928442, 0.005737238815852574, 0.005206076909084709];[0.008787412524223328, 0.007254890322685241, 0.0076234380006790165, 0.0052824850082397465, 0.004858968377113342];70.1;nan;False;./train_valid_history_plots/train_val_loss_hist_5_200_0.002_0.99_0.005.png;./valid_accuracy_history_plots/valid_accuracy_hist_5_200_0.002_0.99_0.005.png;./pre_training_filters/pre_training_filters_5_200_0.002_0.99_0.005.png;./post_training_filters/post_training_filters_5_200_0.002_0.99_0.005.png;66.8;nan
5;200;[128, 512, 512, 512, 512];0.002;0.95;0.001;BN;[0.007913057251852386, 0.006075955356870379, 0.0052939822515662835, 0.004658374561339009, 0.004162533490025267];[0.007405334234237671, 0.005603596210479737, 0.004716212272644043, 0.004309770166873932, 0.0031382750272750852];78.4;nan;False;./train_valid_history_plots/train_val_loss_hist_5_200_0.002_0.95_0.001.png;./valid_accuracy_history_plots/valid_accuracy_hist_5_200_0.002_0.95_0.001.png;./pre_training_filters/pre_training_filters_5_200_0.002_0.95_0.001.png;./post_training_filters/post_training_filters_5_200_0.002_0.95_0.001.png;76.7;nan
5;200;[128, 512, 512, 512, 512];0.002;0.95;0.005;BN;[0.008375950905741477, 0.007131247284461041, 0.006484139685728112, 0.005748120483087034, 0.00517563026778552];[0.009216988563537597, 0.007881627202033996, 0.0062828085422515865, 0.006105271577835083, 0.004272949755191803];71.3;nan;False;./train_valid_history_plots/train_val_loss_hist_5_200_0.002_0.95_0.005.png;./valid_accuracy_history_plots/valid_accuracy_hist_5_200_0.002_0.95_0.005.png;./pre_training_filters/pre_training_filters_5_200_0.002_0.95_0.005.png;./post_training_filters/post_training_filters_5_200_0.002_0.95_0.005.png;70.4;nan
